X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-94.3,67.0,"13","0","0","0","0",0.00000000000000,45.00000000000000
-94.3,74.0,"13","1","0","0","1",7.00000000000000,315.00000000000000
-106,74,"13","2","0","0","2",18.70000000000000,225.00000000000000
-106,67,"13","3","0","0","3",25.70000000000001,135.00000000000000
-94.3,67.0,"13","4","0","0","4",37.40000000000001,45.00000000000000
-85.6,69.0,"14","0","0","0","0",0.00000000000000,45.00000000000000
-76.9,69.0,"14","1","0","0","1",8.69999999999999,135.00000000000000
-76.9,64.3,"14","2","0","0","2",13.39999999999999,225.00000000000000
-85.6,64.3,"14","3","0","0","3",22.09999999999998,315.00000000000000
-85.6,69.0,"14","4","0","0","4",26.79999999999999,45.00000000000000
-81.2,64.3,"15","0","0","0","0",0.00000000000000,45.00000000000000
-76.9,64.3,"15","1","0","0","1",4.30000000000000,135.00000000000000
-76.9,59.0,"15","2","0","0","2",9.59999999999999,225.00000000000000
-81.2,59.0,"15","3","0","0","3",13.89999999999999,315.00000000000000
-81.2,64.3,"15","4","0","0","4",19.19999999999999,45.00000000000000
-89.9,59.0,"16","0","0","0","0",0.00000000000000,45.00000000000000
-76,59,"16","1","0","0","1",13.90000000000001,135.00000000000000
-76,54.6,"16","2","0","0","2",18.30000000000001,225.00000000000000
-89.9,54.6,"16","3","0","0","3",32.20000000000001,315.00000000000000
-89.9,59.0,"16","4","0","0","4",36.60000000000001,45.00000000000000
-89.9,64.3,"6","0","0","0","0",0.00000000000000,315.00000000000000
-89.9,67.0,"6","1","0","0","1",2.70000000000000,45.00000000000000
-85.6,67.0,"6","2","0","0","2",7.00000000000001,135.00000000000000
-85.6,64.3,"6","3","0","0","3",9.70000000000002,225.00000000000000
-89.9,64.3,"6","4","0","0","4",14.00000000000003,315.00000000000000
-89.9,64.3,"1","0","0","0","0",0.00000000000000,135.00000000000000
-89.9,56.0,"1","1","0","0","1",8.30000000000000,225.00000000000000
-95,56,"1","2","0","0","2",13.39999999999999,315.00000000000000
-95,64.3,"1","3","0","0","3",21.69999999999999,45.00000000000000
-89.9,64.3,"1","4","0","0","4",26.79999999999999,135.00000000000000
-89.9,64.3,"2","0","0","0","0",0.00000000000000,45.00000000000000
-85.6,64.3,"2","1","0","0","1",4.30000000000001,135.00000000000000
-85.6,59.0,"2","2","0","0","2",9.60000000000001,225.00000000000000
-89.9,59.0,"2","3","0","0","3",13.90000000000002,315.00000000000000
-89.9,64.3,"2","4","0","0","4",19.20000000000002,45.00000000000000
-85.6,64.3,"3","0","0","0","0",0.00000000000000,45.00000000000000
-81.2,64.3,"3","1","0","0","1",4.39999999999999,135.00000000000000
-81.2,59.0,"3","2","0","0","2",9.69999999999999,225.00000000000000
-85.6,59.0,"3","3","0","0","3",14.09999999999998,315.00000000000000
-85.6,64.3,"3","4","0","0","4",19.39999999999998,45.00000000000000
-83,54.6,"4","0","0","0","0",0.00000000000000,45.00000000000000
-78,54.6,"4","1","0","0","1",5.00000000000000,135.00000000000000
-78,51,"4","2","0","0","2",8.60000000000000,225.00000000000000
-83,51,"4","3","0","0","3",13.60000000000000,315.00000000000000
-83,54.6,"4","4","0","0","4",17.20000000000000,45.00000000000000
-85.6,67.0,"5","0","0","0","0",0.00000000000000,225.00000000000000
-94.3,67.0,"5","1","0","0","1",8.70000000000000,315.00000000000000
-94.3,74.0,"5","2","0","0","2",15.70000000000000,45.00000000000000
-85.6,74.0,"5","3","0","0","3",24.40000000000001,135.00000000000000
-85.6,67.0,"5","4","0","0","4",31.40000000000001,225.00000000000000
-76.9,69.0,"7","0","0","0","0",0.00000000000000,45.00000000000000
-72.5,69.0,"7","1","0","0","1",4.40000000000001,135.00000000000000
-72.5,64.3,"7","2","0","0","2",9.10000000000001,225.00000000000000
-76.9,64.3,"7","3","0","0","3",13.50000000000002,315.00000000000000
-76.9,69.0,"7","4","0","0","4",18.20000000000002,45.00000000000000
-72.5,64.3,"8","0","0","0","0",0.00000000000000,135.00000000000000
-72.5,61.0,"8","1","0","0","1",3.30000000000000,225.00000000000000
-76.9,61.0,"8","2","0","0","2",7.70000000000000,315.00000000000000
-76.9,64.3,"8","3","0","0","3",11.00000000000000,45.00000000000000
-72.5,64.3,"8","4","0","0","4",15.40000000000001,135.00000000000000
-72.5,64.3,"9","0","0","0","0",0.00000000000000,45.00000000000000
-68.25,64.3,"9","1","0","0","1",4.25000000000000,135.00000000000000
-68.25,58.0,"9","2","0","0","2",10.55000000000000,225.00000000000000
-72.5,58.0,"9","3","0","0","3",14.80000000000000,315.00000000000000
-72.5,64.3,"9","4","0","0","4",21.10000000000000,45.00000000000000
-68.25,63.9,"10","0","0","0","0",0.00000000000000,45.00000000000000
-63.9,63.9,"10","1","0","0","1",4.35000000000000,135.00000000000000
-63.9,58.0,"10","2","0","0","2",10.25000000000000,225.00000000000000
-68.25,58.0,"10","3","0","0","3",14.60000000000000,315.00000000000000
-68.25,63.9,"10","4","0","0","4",20.50000000000000,45.00000000000000
-63.9,63.9,"11","0","0","0","0",0.00000000000000,45.00000000000000
-59.6,63.9,"11","1","0","0","1",4.30000000000000,135.00000000000000
-59.6,59.4,"11","2","0","0","2",8.80000000000000,225.00000000000000
-63.9,59.4,"11","3","0","0","3",13.10000000000000,315.00000000000000
-63.9,63.9,"11","4","0","0","4",17.60000000000000,45.00000000000000
-57.5,83.5,"12","0","0","0","0",0.00000000000000,135.00000000000000
-57.5,77.0,"12","1","0","0","1",6.50000000000000,225.00000000000000
-78,77,"12","2","0","0","2",27.00000000000000,315.00000000000000
-78,83.5,"12","3","0","0","3",33.50000000000000,45.00000000000000
-57.5,83.5,"12","4","0","0","4",54.00000000000000,135.00000000000000
