X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-124,72,"1","0","0","0","0",0.00000000000000,225.00000000000000
-155,72,"1","1","0","0","1",31.00000000000000,315.00000000000000
-155,84.5,"1","2","0","0","2",43.50000000000000,45.00000000000000
-124,84.5,"1","3","0","0","3",74.50000000000000,135.00000000000000
-124,72,"1","4","0","0","4",87.00000000000000,225.00000000000000
-124,72,"2","0","0","0","0",0.00000000000000,315.00000000000000
-124,84.5,"2","1","0","0","1",12.50000000000000,45.00000000000000
-90,84.5,"2","2","0","0","2",46.50000000000000,135.00000000000000
-90,72,"2","3","0","0","3",59.00000000000000,225.00000000000000
-124,72,"2","4","0","0","4",93.00000000000000,315.00000000000000
-90,84.5,"3","0","0","0","0",0.00000000000000,45.00000000000000
-50,84.5,"3","1","0","0","1",40.00000000000000,135.00000000000000
-50,74,"3","2","0","0","2",50.50000000000000,225.00000000000000
-90,74,"3","3","0","0","3",90.50000000000000,315.00000000000000
-90,84.5,"3","4","0","0","4",101.00000000000000,45.00000000000000
