X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-124,76,"4","0","0","0","0",0.00000000000000,315.00000000000000
-124,84.3,"4","1","0","0","1",8.30000000000000,45.00000000000000
-100,84.3,"4","2","0","0","2",32.30000000000000,135.00000000000000
-100,76,"4","3","0","0","3",40.60000000000000,225.00000000000000
-124,76,"4","4","0","0","4",64.59999999999999,315.00000000000000
-70,84.3,"6","0","0","0","0",0.00000000000000,45.00000000000000
-50,84.3,"6","1","0","0","1",20.00000000000000,135.00000000000000
-50,78,"6","2","0","0","2",26.30000000000000,225.00000000000000
-70,78,"6","3","0","0","3",46.30000000000000,315.00000000000000
-70,84.3,"6","4","0","0","4",52.60000000000000,45.00000000000000
-91,78,"7","0","0","0","0",0.00000000000000,225.00000000000000
-91,72.5,"7","1","0","0","1",5.50000000000000,135.00000000000000
-76.5,72.5,"7","2","0","0","2",20.00000000000000,45.00000000000000
-76.5,78.0,"7","3","0","0","3",25.50000000000000,315.00000000000000
-91,78,"7","4","0","0","4",40.00000000000000,225.00000000000000
-76.5,79.5,"8","0","0","0","0",0.00000000000000,225.00000000000000
-76.5,71.487610134036,"8","1","0","0","1",8.01238986596395,135.00000000000000
-70,71.487610134036,"8","2","0","0","2",14.51238986596395,45.00000000000000
-70,79.5,"8","3","0","0","3",22.52477973192791,315.00000000000000
-76.5,79.5,"8","4","0","0","4",29.02477973192791,225.00000000000000
-91,73,"10","0","0","0","0",0.00000000000000,315.00000000000000
-94.5,73.0,"10","1","0","0","1",3.50000000000000,225.00000000000000
-94.5,67.5,"10","2","0","0","2",9.00000000000000,135.00000000000000
-86,67.5,"10","3","0","0","3",17.50000000000000,45.00000000000000
-86,72.5,"10","4","0","0","4",22.50000000000000,315.00000000000000
-91,72.5,"10","5","0","0","5",27.50000000000000,315.00000000000000
-91,73,"10","6","0","0","6",28.00000000000000,315.00000000000000
-86,65,"11","0","0","0","0",0.00000000000000,315.00000000000000
-95,65,"11","1","0","0","1",9.00000000000000,225.00000000000000
-95,54.16472098,"11","2","0","0","2",19.83527902000000,134.75273945583922
-86,54.2424020998548,"11","3","0","0","3",28.83561425577772,44.75273945583924
-86,65,"11","4","0","0","4",39.59321215592290,315.00000000000000
-86,65,"12","0","0","0","0",0.00000000000000,45.00000000000000
-80,65,"12","1","0","0","1",6.00000000000000,135.00000000000000
-80,60,"12","2","0","0","2",11.00000000000000,225.00000000000000
-86,60,"12","3","0","0","3",17.00000000000000,315.00000000000000
-86,65,"12","4","0","0","4",22.00000000000000,45.00000000000000
-86,60,"13","0","0","0","0",0.00000000000000,225.00000000000000
-86,55,"13","1","0","0","1",5.00000000000000,135.00000000000000
-76,55,"13","2","0","0","2",15.00000000000000,45.00000000000000
-76,60,"13","3","0","0","3",20.00000000000000,315.00000000000000
-86,60,"13","4","0","0","4",30.00000000000000,225.00000000000000
-70,63,"19","0","0","0","0",0.00000000000000,225.00000000000000
-70,58,"19","1","0","0","1",5.00000000000000,135.00000000000000
-64.5,58.0,"19","2","0","0","2",10.50000000000000,45.00000000000000
-64.5,63.0,"19","3","0","0","3",15.50000000000000,315.00000000000000
-70,63,"19","4","0","0","4",21.00000000000000,225.00000000000000
-80,65,"15","0","0","0","0",0.00000000000000,225.00000000000000
-80,60,"15","1","0","0","1",5.00000000000000,135.00000000000000
-75,60,"15","2","0","0","2",10.00000000000000,45.00000000000000
-75,65,"15","3","0","0","3",15.00000000000000,315.00000000000000
-80,65,"15","4","0","0","4",20.00000000000000,225.00000000000000
-75,65,"18","0","0","0","0",0.00000000000000,225.00000000000000
-75,60.5,"18","1","0","0","1",4.50000000000000,135.00000000000000
-70,60.5,"18","2","0","0","2",9.50000000000000,45.00000000000000
-70,65,"18","3","0","0","3",14.00000000000000,315.00000000000000
-75,65,"18","4","0","0","4",19.00000000000000,225.00000000000000
-67.5,67.0,"21","0","0","0","0",0.00000000000000,225.00000000000000
-67.5,63.0,"21","1","0","0","1",4.00000000000000,135.00000000000000
-53,63,"21","2","0","0","2",18.50000000000000,45.00000000000000
-53,67,"21","3","0","0","3",22.50000000000000,315.00000000000000
-67.5,67.0,"21","4","0","0","4",37.00000000000000,225.00000000000000
-64.5,63.0,"20","0","0","0","0",0.00000000000000,225.00000000000000
-64.5,58.5,"20","1","0","0","1",4.50000000000000,135.00000000000000
-59,58.5,"20","2","0","0","2",10.00000000000000,45.00000000000000
-59,63,"20","3","0","0","3",14.50000000000000,315.00000000000000
-64.5,63.0,"20","4","0","0","4",20.00000000000000,225.00000000000000
-63,58.5,"22","0","0","0","0",0.00000000000000,225.00000000000000
-63,50,"22","1","0","0","1",8.50000000000000,135.00000000000000
-51,50,"22","2","0","0","2",20.50000000000000,45.00000000000000
-51,58.5,"22","3","0","0","3",29.00000000000000,315.00000000000000
-63,58.5,"22","4","0","0","4",41.00000000000000,225.00000000000000
-100,84.3,"5","0","0","0","0",0.00000000000000,225.00000000000000
-100,79.5,"5","1","0","0","1",4.80000000000000,135.00000000000000
-70,79.5,"5","2","0","0","2",34.80000000000000,45.00000000000000
-70,84.3,"5","3","0","0","3",39.60000000000000,315.00000000000000
-100,84.3,"5","4","0","0","4",69.59999999999999,225.00000000000000
-151,76,"1","0","0","0","0",0.00000000000000,225.00000000000000
-151,68,"1","1","0","0","1",8.00000000000000,135.00000000000000
