X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-135,69.5,"1","0","0","0","0",0.00000000000000,45.00000000000000
-135,76,"1","1","0","0","1",6.50000000000000,315.00000000000000
-155,76,"1","2","0","0","2",26.50000000000000,225.00000000000000
-155,69.5,"1","3","0","0","3",33.00000000000000,135.00000000000000
-135,69.5,"1","4","0","0","4",53.00000000000000,45.00000000000000
-115.5,70.0,"2","0","0","0","0",0.00000000000000,45.00000000000000
-115.5,80.0,"2","1","0","0","1",10.00000000000000,315.00000000000000
-135,80,"2","2","0","0","2",29.50000000000000,225.00000000000000
-135,70,"2","3","0","0","3",39.50000000000000,135.00000000000000
-115.5,70.0,"2","4","0","0","4",59.00000000000000,45.00000000000000
-99.3,70.0,"3","0","0","0","0",0.00000000000000,45.00000000000000
-99.3,81.0,"3","1","0","0","1",11.00000000000000,315.00000000000000
-115.5,81.0,"3","2","0","0","2",27.20000000000001,225.00000000000000
-115.5,70.0,"3","3","0","0","3",38.20000000000001,135.00000000000000
-99.3,70.0,"3","4","0","0","4",54.40000000000002,45.00000000000000
-99.3,70.0,"4","0","0","0","0",0.00000000000000,315.00000000000000
-99.3,84.3,"4","1","0","0","1",14.30000000000000,45.00000000000000
-71,84.3,"4","2","0","0","2",42.60000000000000,135.00000000000000
-71,70,"4","3","0","0","3",56.90000000000000,225.00000000000000
-99.3,70.0,"4","4","0","0","4",85.20000000000000,315.00000000000000
