X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-63.5,62.0,"3","0","0","0","0",0.00000000000000,59.24273612508120
-44.3766851137078,51.6231646198595,"3","1","0","0","1",21.75729497770395,187.86544332259257
-60.1105967822692,48.061620144741,"3","2","0","0","2",37.88926867723437,299.20694565367575
-63.5,58.0,"3","3","0","0","3",48.38971858758494,350.58423845616437
-63.5,62.0,"3","4","0","0","4",52.38971858758494,59.24273612508120
-70,63,"1","0","0","0","0",0.00000000000000,49.37308113127762
-63.5,62.0,"1","1","0","0","1",6.57647321898295,139.37308113127759
-63.5,58.0,"1","2","0","0","2",10.57647321898295,225.00000000000000
-70,58,"1","3","0","0","3",17.07647321898296,315.00000000000000
-70,63,"1","4","0","0","4",22.07647321898296,49.37308113127762
-70,63,"2","0","0","0","0",0.00000000000000,322.22837770002741
-69,73,"2","1","0","0","1",10.04987562112089,58.37405208146074
-56,68,"2","2","0","0","2",23.97826389830501,171.18885138566586
-63.5,62.0,"2","3","0","0","3",33.58295025445428,255.04317700423255
-70,63,"2","4","0","0","4",40.15942347343724,322.22837770002741
-70,63,"4","0","0","0","0",0.00000000000000,141.62025995759359
-70,60,"4","1","0","0","1",3.00000000000000,231.62025995759359
-78.5,62.0,"4","2","0","0","2",11.73212459828649,321.62025995759359
-78.5,65.0,"4","3","0","0","3",14.73212459828649,51.62025995759360
-70,63,"4","4","0","0","4",23.46424919657298,141.62025995759359
-86,67.3,"7","0","0","0","0",0.00000000000000,352.63125904892183
-81,70.2,"7","1","0","0","1",5.78013840664737,78.67846620876310
-70.2426561303485,68.7893714651952,"7","2","0","0","2",16.62957710148938,157.79272833251758
-74,64,"7","3","0","0","3",22.71691740628870,251.74552117267632
-86,67.3,"7","4","0","0","4",35.16239851390362,352.63125904892183
-63,77,"8","0","0","0","0",0.00000000000000,253.99730839595827
-87.5,77.0,"8","1","0","0","1",24.50000000000000,296.14201182720842
-93.3,84.5,"8","2","0","0","2",33.98103369891701,26.14201182720843
-51,84.5,"8","3","0","0","3",76.28103369891701,163.99730839595824
-63,77,"8","4","0","0","4",90.43200539700192,253.99730839595827
-78,71.8253519179099,"9","0","0","0","0",0.00000000000000,210.86932242652185
-88.3450442502721,66.2641166961151,"9","1","0","0","1",11.74509590136324,254.98540889859385
-106.731168861104,65.6966437142993,"9","2","0","0","2",30.13997572674192,313.42424298838773
-107.014905352012,77.4433344378862,"9","3","0","0","3",41.89009271985633,44.74584906458660
-78,77,"9","4","0","0","4",70.90838484758186,135.43769254827083
-78,71.8253519179099,"9","5","0","0","5",76.08303292967200,210.86932242652185
-151.221050635462,74.7194641251704,"5","0","0","0","0",0.00000000000000,48.29091709850650
-110.249501348362,71.0876370415493,"5","1","0","0","1",41.13220172748617,138.22078242202841
-110.419743242907,64.0,"5","2","0","0","2",48.22188304157920,225.68797730450177
-151.50478712637,64.0,"5","3","0","0","3",89.30692692504270,315.75811198097989
-151.221050635462,74.7194641251704,"5","4","0","0","4",100.03014554293387,48.29091709850650
-107.809367526554,77.9540601215204,"6","0","0","0","0",0.00000000000000,143.43681843291716
-109,71.8253519179098,"6","1","0","0","1",6.24328999261031,233.42878130906232
-129.997561115551,73.9817492488098,"6","2","0","0","2",27.35128900364948,323.68870450945525
-128.749120555557,80.1104574524204,"6","3","0","0","3",33.60586077770752,53.69674163331010
-107.809367526554,77.9540601215204,"6","4","0","0","4",54.65635498483590,143.43681843291716
-78.5,62.0,"10","0","0","0","0",0.00000000000000,101.55937718267290
-74,60.75,"10","1","0","0","1",4.67038542306735,151.77919828194206
-77.5,50.0,"10","2","0","0","2",15.97580447766237,242.88947859609337
-90,54,"10","3","0","0","3",29.10020922606906,349.19645949939610
-80,62.2,"10","4","0","0","4",42.03233975433083,74.12144537116340
-78.5,62.0,"10","5","0","0","5",43.54561434937299,101.55937718267290
-80,63.2,"11","0","0","0","0",0.00000000000000,177.95002168616065
-91.3543018843883,55.038864858213,"11","1","0","0","1",13.98300032483497,268.80830270125432
-98.9,60.0,"11","2","0","0","2",23.01352754903515,1.59133936218048
-86.5,67.2,"11","3","0","0","3",37.35228621218309,90.73305834708675
-80,63.2,"11","4","0","0","4",44.98445497341997,177.95002168616065
