X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-63.9,59.4,"17","0","0","0","0",0.00000000000000,45.00000000000000
-55.27,59.4,"17","1","0","0","1",8.63000000000000,135.00000000000000
-55.27,54.5,"17","2","0","0","2",13.53000000000000,225.00000000000000
-63.9,54.5,"17","3","0","0","3",22.15999999999999,315.00000000000000
-63.9,59.4,"17","4","0","0","4",27.05999999999999,45.00000000000000
-63.9,69.1,"18","0","0","0","0",0.00000000000000,315.00000000000000
-68.25,69.1,"18","1","0","0","1",4.35000000000000,225.00000000000000
-68.25,63.9,"18","2","0","0","2",9.55000000000000,135.00000000000000
-63.9,63.9,"18","3","0","0","3",13.90000000000000,45.00000000000000
-63.9,69.1,"18","4","0","0","4",19.10000000000000,315.00000000000000
-76.9,78.85,"19","0","0","0","0",0.00000000000000,334.99344312248206
-73,83.5,"19","1","0","0","1",6.06897849724318,64.99344312248211
-58,83.5,"19","2","0","0","2",21.06897849724318,135.00000000000000
-58,78.85,"19","3","0","0","3",25.71897849724319,225.00000000000000
-76.9,78.85,"19","4","0","0","4",44.61897849724319,334.99344312248206
-50.9,63.9,"20","0","0","0","0",0.00000000000000,45.00000000000000
-46,63.9,"20","1","0","0","1",4.90000000000000,135.00000000000000
-46,56,"20","2","0","0","2",12.80000000000000,225.00000000000000
-50.9,56.0,"20","3","0","0","3",17.70000000000000,315.00000000000000
-50.9,63.9,"20","4","0","0","4",25.60000000000000,45.00000000000000
-85.6,74.0,"21","0","0","0","0",0.00000000000000,45.00000000000000
-68.25,74.0,"21","1","0","0","1",17.35000000000000,135.00000000000000
-68.25,69.1,"21","2","0","0","2",22.25000000000000,225.00000000000000
-85.6,69.1,"21","3","0","0","3",39.60000000000000,315.00000000000000
-85.6,74.0,"21","4","0","0","4",44.50000000000000,45.00000000000000
-76.9,74.0,"22","0","0","0","0",0.00000000000000,45.00000000000000
-76.9,78.85,"22","1","0","0","1",4.84999999999999,315.00000000000000
-108,78.85,"22","2","0","0","2",35.94999999999999,225.00000000000000
-108,74,"22","3","0","0","3",40.79999999999999,135.00000000000000
-76.9,74.0,"22","4","0","0","4",71.89999999999998,45.00000000000000
-94.3,74.0,"23","0","0","0","0",0.00000000000000,314.02195721015050
-108,74,"23","1","0","0","1",13.70000000000000,225.00000000000000
-108,69,"23","2","0","0","2",18.70000000000000,135.00000000000000
-94.12923298,69.0,"23","3","0","0","3",32.57076702000001,44.02195721015048
-94.3,74.0,"23","4","0","0","4",37.57368230762178,314.02195721015050
-115,78.85,"24","0","0","0","0",0.00000000000000,225.00000000000000
-115,72,"24","1","0","0","1",6.84999999999999,135.00000000000000
-108,72,"24","2","0","0","2",13.85000000000000,45.00000000000000
-108,78.85,"24","3","0","0","3",20.69999999999999,315.00000000000000
-115,78.85,"24","4","0","0","4",27.69999999999999,225.00000000000000
