X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-57.5,83.5,"16","0","0","0","0",0.00000000000000,135.00000000000000
-57.5,77.0,"16","1","0","0","1",6.50000000000000,225.00000000000000
-78,77,"16","2","0","0","2",27.00000000000000,315.00000000000000
-78,83.5,"16","3","0","0","3",33.50000000000000,45.00000000000000
-57.5,83.5,"16","4","0","0","4",54.00000000000000,135.00000000000000
-89.9,64.3,"1","0","0","0","0",0.00000000000000,135.00000000000000
-89.9,56.0,"1","1","0","0","1",8.30000000000000,225.00000000000000
-95,56,"1","2","0","0","2",13.39999999999999,315.00000000000000
-95,64.3,"1","3","0","0","3",21.69999999999999,45.00000000000000
-89.9,64.3,"1","4","0","0","4",26.79999999999999,135.00000000000000
-89.9,64.3,"2","0","0","0","0",0.00000000000000,315.00000000000000
-89.9,69.0,"2","1","0","0","1",4.70000000000000,45.00000000000000
-85.6,69.0,"2","2","0","0","2",9.00000000000001,135.00000000000000
-85.6,64.3,"2","3","0","0","3",13.70000000000002,225.00000000000000
-89.9,64.3,"2","4","0","0","4",18.00000000000003,315.00000000000000
-89.9,64.3,"3","0","0","0","0",0.00000000000000,45.00000000000000
-85.6,64.3,"3","1","0","0","1",4.30000000000001,135.00000000000000
-85.6,55.0,"3","2","0","0","2",13.60000000000001,225.00000000000000
-89.9,55.0,"3","3","0","0","3",17.90000000000002,315.00000000000000
-89.9,64.3,"3","4","0","0","4",27.20000000000002,45.00000000000000
-85.6,64.3,"4","0","0","0","0",0.00000000000000,45.00000000000000
-81.2,64.3,"4","1","0","0","1",4.39999999999999,135.00000000000000
-81.2,54.6,"4","2","0","0","2",14.09999999999999,225.00000000000000
-85.6,54.6,"4","3","0","0","3",18.49999999999998,315.00000000000000
-85.6,64.3,"4","4","0","0","4",28.19999999999998,45.00000000000000
-81.2,54.6,"5","0","0","0","0",0.00000000000000,135.00000000000000
-81.2,51.0,"5","1","0","0","1",3.60000000000000,225.00000000000000
-85.6,51.0,"5","2","0","0","2",7.99999999999999,315.00000000000000
-85.6,54.6,"5","3","0","0","3",11.60000000000000,45.00000000000000
-81.2,54.6,"5","4","0","0","4",15.99999999999999,135.00000000000000
