Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
1 	1.530017204585606E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	1.4712969895348083E7 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	1.5044360194457306E7 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	1.5346845390731862E7 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	1.4875189376815641E7 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	1.5308989475346407E7 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	1.4955494213029012E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	1.4738258223997759E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	1.4999972643754942E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	1.4583065342807557E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
11 	1.485922297089087E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
12 	1.4200603535301508E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
13 	1.259396238976162E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0
14 	1.4305325476747334E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0
15 	1.533985001523039E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0
16 	1.5069482687365944E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
17 	1.4002809566056667E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
18 	1.4800690472093128E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
19 	6984271.890911257 	0.05059687694205261 	0.07240016363484679 	-0.07240016363484679 	0.021352265747783292 	-0.07240016363484683 	0.040853865626469615 	0.07240016363484686 	0.07240016363484655 	0.07240016363484687 	-0.07240016363484687 	0.07240016363484668 	0.06670178278018896 	0.07240016363484711 	-0.01542089753896695 	0.07240016363484639 	0.02391528826823867 	0.07240016363484697
20 	5970732.704992159 	0.054728800715055564 	0.10000000000000021 	-0.09999999999999995 	0.050232769579362124 	-0.10000000000000042 	0.07385226535178846 	0.10000000000000014 	0.10000000000000007 	0.08566020321001581 	-0.010032484460525154 	0.1 	0.10000000000000003 	0.10000000000000019 	-0.016162752442322327 	0.10000000000000017 	-0.03994857416472356 	0.10000000000000016
21 	5896464.813196378 	0.06129397659733607 	0.010222732939583624 	-0.07326802045762604 	0.09999999999999998 	-0.10000000000003749 	0.1 	0.10000000000000464 	0.10000000000000023 	0.052316296690578974 	0.0999999999999999 	0.10000000000000012 	0.10000000000000034 	0.10000000000000048 	0.0023282391873109334 	0.10000000000000307 	-0.10000000000000002 	0.10000000000000026
-1 	5896464.813196378 	0.06129397659733607 	0.010222732939583624 	-0.07326802045762604 	0.09999999999999998 	-0.10000000000003749 	0.1 	0.10000000000000464 	0.10000000000000023 	0.052316296690578974 	0.0999999999999999 	0.10000000000000012 	0.10000000000000034 	0.10000000000000048 	0.0023282391873109334 	0.10000000000000307 	-0.10000000000000002 	0.10000000000000026
