Iteration   Cost 	vis_1 	vis_2 	vis_3 	vis_4 	vis_5 	vis_6 	vis_7 	vis_8 	vis_9 	vis_10 	vis_11 	vis_12 	vis_13
1 	4130357.6123988987 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	4130260.3683895585 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	4130516.34604874 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	4130354.496379693 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	4139051.826885526 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	4130963.077575337 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	4133343.5757555454 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	4134384.819838502 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	4129331.9408055726 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	4129808.3370074574 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0
11 	4131689.7752507366 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0
12 	4131580.7015033932 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0
13 	4130461.509626846 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0
14 	4131032.1147125177 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0
15 	4100853.7388414224 	1.2022284614015983 	-0.9999999999999989 	-0.4224421131631957 	-1.0000000000000009 	-1.0000000000000016 	-1.0000000000000018 	-1.0000000000000038 	1.1733665038063616 	6.854128269102214 	-0.9999999999999962 	-0.9999999999999993 	-0.999999999999999 	-1.0000000000000007
16 	4100035.4408228947 	1.4053439352855264 	-0.9999999999999996 	-0.4167052178307456 	-1.0 	-1.0000000000000049 	-1.0000000000000115 	-1.000000000000016 	1.6391325886224146 	8.336890006681838 	-1.0000000000000009 	-1.0000000000000016 	1.2821068837877816 	2.399317211221254
-1 	4100035.4408228947 	1.4053439352855264 	-0.9999999999999996 	-0.4167052178307456 	-1.0 	-1.0000000000000049 	-1.0000000000000115 	-1.000000000000016 	1.6391325886224146 	8.336890006681838 	-1.0000000000000009 	-1.0000000000000016 	1.2821068837877816 	2.399317211221254
