Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	bf_13 	bf_14
1 	2.817578731915972E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
2 	2.817842402834727E7 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
3 	2.8214337252779618E7 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
4 	2.854069547379306E7 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
5 	2.8039081460128084E7 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
6 	2.783704888063829E7 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
7 	2.8095946917107265E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
8 	2.8241420107616607E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
9 	2.7267530286977015E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0
10 	2.8178324081812136E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0
11 	2.8200375202923346E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0
12 	2.816599510700587E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0
13 	2.8322243442090165E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0
14 	2.82067769316086E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0
15 	2.8173263019134544E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2
16 	2.4390475492831796E7 	-0.4000000000000009 	-0.4000000000000046 	-0.39999999999999875 	0.29141418983443146 	0.40000000000000613 	0.3999999999999977 	-0.3999999999999974 	0.3999999999999957 	-0.39999999999999836 	-0.40000000000000013 	0.4000000000000012 	-0.4000000000000036 	-0.4000000000000015 	0.40000000000000013
17 	2.4397762373393152E7 	-0.4000000000000026 	-0.3503841431435158 	-0.39999999999999586 	0.32172881606791265 	0.40000000000004426 	0.3999999999999988 	-0.3999999999999976 	0.3999999999999993 	0.33559062050669297 	-0.39999999999999697 	0.40000000000001884 	-0.4000000000000408 	-0.40000000000000246 	0.39999999999999863
18 	2.4407345591517497E7 	-0.4000000000000019 	-0.37519207157176016 	-0.3999999999999974 	0.30657150295117197 	0.40000000000002517 	0.39999999999999847 	-0.39999999999999747 	0.39999999999999747 	-0.032204689746652936 	-0.39999999999999875 	0.40000000000001 	-0.4000000000000222 	-0.4000000000000021 	0.39999999999999936
19 	2.440556006686489E7 	-0.4000000000000014 	-0.3875960357858823 	-0.3999999999999979 	0.29899284639280177 	0.40000000000001557 	0.39999999999999786 	-0.3999999999999974 	0.3999999999999965 	-0.21610234487332552 	-0.3999999999999994 	0.4000000000000055 	-0.40000000000001285 	-0.40000000000000163 	0.3999999999999997
20 	2.4400583054269884E7 	-0.40000000000000124 	-0.3937980178929436 	-0.3999999999999986 	0.2952035181136166 	0.40000000000001096 	0.3999999999999979 	-0.3999999999999975 	0.39999999999999625 	-0.30805117243666214 	-0.3999999999999999 	0.40000000000000346 	-0.4000000000000084 	-0.4000000000000017 	0.4000000000000001
21 	2.439632929803507E7 	-0.4000000000000009 	-0.39689900894647395 	-0.39999999999999847 	0.293308853974024 	0.4000000000000084 	0.3999999999999977 	-0.3999999999999973 	0.3999999999999958 	-0.35402558621833 	-0.39999999999999986 	0.4000000000000022 	-0.40000000000000585 	-0.4000000000000015 	0.39999999999999997
22 	2.4390262213777374E7 	-0.40000000000000085 	-0.40009690597042746 	-0.3999999999999987 	0.29135498158006917 	0.400000000000006 	0.39999999999999764 	-0.3999999999999974 	0.3999999999999957 	-0.4014367004306754 	-0.4000000000000001 	0.40000000000000113 	-0.4000000000000035 	-0.40000000000000147 	0.4000000000000001
23 	2.4385761302269656E7 	-0.39999999999504077 	-0.4001938273105769 	-0.4000000052341049 	0.3216986015741938 	0.400000000366646 	0.4000000003302507 	-0.4000000007176669 	0.3999999994916435 	0.36614905713176493 	-0.4000000001931296 	0.3999999997365323 	-0.40000000523411 	-0.40000000058536067 	0.4000000000138884
-1 	2.4385761302269656E7 	-0.39999999999504077 	-0.4001938273105769 	-0.4000000052341049 	0.3216986015741938 	0.400000000366646 	0.4000000003302507 	-0.4000000007176669 	0.3999999994916435 	0.36614905713176493 	-0.4000000001931296 	0.3999999997365323 	-0.40000000523411 	-0.40000000058536067 	0.4000000000138884
