Iteration   Cost 	vi_1 	vi_2 	vi_3 	vi_4 	vi_5 	vi_6 	vi_7 	vi_8 	vi_9 	vi_10 	vi_11 	vi_12 	vi_13 	vi_14 	vi_15 	vi_16 	vi_17 	vi_18 	vi_19 	vi_20 	vi_21 	vi_22 	vi_23 	vi_24 	vi_25 	vi_26 	vi_27 	vi_28 	vi_29 	vi_30
1 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
2 	1.0034511467085537E7 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
3 	1.0034511467085537E7 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
4 	1.0034511467085537E7 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
5 	1.0040953650303166E7 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
6 	9874011.715259768 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
7 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
8 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
9 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
10 	1.0125833147218853E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
11 	1.0022434506589506E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
12 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
13 	1.0046517214375917E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
14 	1.0011155528810667E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
15 	9935891.024832867 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
16 	9687813.81387317 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
17 	1.0011612509269841E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
18 	1.000901390737254E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
19 	9976641.334092952 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
20 	1.0015215970486252E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
21 	9805217.316018282 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
22 	1.0031878326782407E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
23 	1.0013453947704185E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
24 	1.0000376689349491E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
25 	9995786.51452686 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
26 	9977466.331407262 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0
27 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0
28 	1.0053990051776584E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0
29 	9875359.446943957 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0
30 	9696531.09235165 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0
31 	9627873.141856635 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0
