Iteration   Cost 	vi_1 	vi_2 	vi_3 	vi_4 	vi_5 	vi_6 	vi_7 	vi_8 	vi_9
1 	1.0034511467085537E7 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
2 	1.0034511467085537E7 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
3 	1.0034511467085537E7 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
4 	9887377.1662859 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0
5 	1.0019623828098943E7 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0 	25.0
6 	9899499.661271587 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0 	25.0
7 	9528606.656869933 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0 	25.0
8 	9959968.062012939 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0
9 	9608944.716369038 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0
10 	9364063.082815742 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0
11 	7927072.926776882 	25.000000000001222 	24.999999999996763 	242.28542242291147 	25.000000000000725 	3140.7477829701656 	1052.6391374328496 	773.1789254638435 	1020.3656091784442 	4920.783122531788
12 	7903300.033165777 	25.00000000000059 	25.000000000000046 	457.80976233517333 	25.000000000000632 	3316.57327562474 	1096.6555574962251 	745.5668622086819 	1058.2849017104174 	4329.0179582120445
13 	7927594.224748986 	24.99999999999974 	25.000000000001165 	609.2458785274739 	25.000000000000203 	3253.4526444410803 	1066.6624777820252 	695.6367443184527 	1025.0768550415305 	3833.260933850652
14 	7917031.072523021 	25.000000000000163 	25.000000000000608 	533.5278204313236 	25.000000000000412 	3285.012960032913 	1081.6590176391255 	720.6018032635675 	1041.6808783759734 	4081.139446031346
15 	7920384.717199918 	25.000000000000377 	25.000000000000327 	495.6687913832485 	25.000000000000522 	3300.7931178288254 	1089.1572875676752 	733.0843327361245 	1049.9828900431953 	4205.078702121696
16 	7907269.051068435 	25.000000000000483 	25.000000000000185 	476.7392768592109 	25.000000000000583 	3308.6831967267826 	1092.90642253195 	739.3255974724032 	1054.1338958768065 	4267.048330166869
17 	7892315.542552107 	25.000000000000536 	25.000000000000117 	467.2745195971921 	25.0000000000006 	3312.6282361757617 	1094.7809900140878 	742.4462298405426 	1056.2093987936119 	4298.033144189458
18 	7688047.886266282 	25.0000000000009 	24.999999999999705 	25.000000000000234 	24.999999999999346 	1878.80761050845 	2134.3243926527566 	112.57463296390488 	2206.9943288268346 	9068.65838011456
19 	7686284.191633757 	25.00000000000086 	24.999999999999506 	24.999999999999872 	25.000000000001243 	2008.039051220469 	1891.2145131535835 	24.999999999999773 	2141.0814754314306 	8009.087183990243
-1 	7686284.191633757 	25.00000000000086 	24.999999999999506 	24.999999999999872 	25.000000000001243 	2008.039051220469 	1891.2145131535835 	24.999999999999773 	2141.0814754314306 	8009.087183990243
